Year,Event Title,Href,Location,Date
1991,UIAA Worldcup - Wien 1991,https://ifsc.results.info/event/100/,O-Wi,25/04/1991 – 26/04/1991
2017,Paraclimbing Master (L) - Imst (AUT) 2017,https://ifsc.results.info/event/1000/,Ims_Paraclimbing_17,08/07/2017 – 09/07/2017
2017,Paraclimbing Cup (L) - Briançon (FRA) 2017,https://ifsc.results.info/event/1001/,WG_2017,21/07/2017 – 23/07/2017
2017,Paraclimbing Cup (L) - Edinburgh (GBR) 2017,https://ifsc.results.info/event/1002/,Edi_Paraclimbing_17,23/09/2017 – 24/09/2017
2017,Paraclimbing Cup (L) - Sheffield (GBR) 2017,https://ifsc.results.info/event/1003/,She_Paraclimbing_17,07/10/2017 – 08/10/2017
2017,Asian Continental Championships - Tehran (IRI) 2017,https://ifsc.results.info/event/1004/,ACH Tehran,18/09/2017 – 21/09/2017
2017,Asia Cup - Wanxianshan (CHN) 2017,https://ifsc.results.info/event/1005/,Asia_Cup_17,27/10/2017 – 29/10/2017
2017,Asia K Climbing Championship - Singapore (SGP) 2017,https://ifsc.results.info/event/1006/,Gravical2017,11/01/2018 – 14/01/2018
2017,Asian Youth Championships - Singapore (SGP) 2017,https://ifsc.results.info/event/1007/,Asian_Youth_Chp_17,05/07/2017 – 09/07/2017
2017,"European Championship (L,S) - Campitello di Fassa (ITA) 2017",https://ifsc.results.info/event/1008/,CAMPECH17,30/06/2017 – 01/07/2017
2017,European Championship (B) - Munich (GER) 2017,https://ifsc.results.info/event/1009/,MunichECH,18/08/2017 – 19/08/2017
1991,UIAA Worldcup - Clusone 1991,https://ifsc.results.info/event/101/,W-Cl,29/08/1991 – 30/08/1991
2017,European Youth Cup (B) - Graz (AUT) 2017,https://ifsc.results.info/event/1010/,EYC_Graz_17,29/04/2017 – 30/04/2017
2017,European Youth Cup (S) - Tarnow (POL) 2017,https://ifsc.results.info/event/1011/,TheRock,20/05/2017
2017,European Youth Cup (B) - Soure (POR) 2017,https://ifsc.results.info/event/1012/,Melloblocco,11/05/2017 – 14/05/2017
2017,European Youth Cup (L) - Imst (AUT) 2017,https://ifsc.results.info/event/1013/,VailWC,09/06/2017 – 10/06/2017
2017,European Youth Cup (L) - Dornbirn (AUT) 2017,https://ifsc.results.info/event/1014/,EYC_AUT_L_17,10/06/2017 – 11/06/2017
2017,European Youth Cup (S) - Bologna (ITA) 2017,https://ifsc.results.info/event/1015/,EYC_ITA_17,17/06/2017
2017,European Youth Cup (L) - Uster (SUI) 2017,https://ifsc.results.info/event/1016/,Millau,29/06/2017 – 02/07/2017
2017,European Youth Cup (B) - L'Argentière (FRA) 2017,https://ifsc.results.info/event/1017/,EYC_Argentiere_17,18/07/2017 – 19/07/2017
2017,European Youth Cup (B) - Sofia (BUL) 2017,https://ifsc.results.info/event/1018/,Sofia,05/08/2017 – 06/08/2017
2017,European Youth Cup (L) - Mitterdorf (AUT) 2017,https://ifsc.results.info/event/1019/,EYC_AUT_L_17,12/08/2017 – 13/08/2017
1991,UIAA Worldcup - Innsbruck 1991,https://ifsc.results.info/event/102/,W-In,19/09/1991 – 20/09/1991
2017,European Youth Cup (S) - Imst (AUT) 2017,https://ifsc.results.info/event/1020/,EYC_AUT_S_17,27/08/2017
2017,European Youth Championships (B) - Slany (CZE) 2017,https://ifsc.results.info/event/1021/,EYCH_Slany_17,15/09/2017 – 16/09/2017
2017,"European Youth Championships (L,S) - Perm (RUS) 2017",https://ifsc.results.info/event/1022/,EYCH_Perm_17,28/09/2017 – 01/10/2017
2017,European Youth Championship Combined (Youth A) - Saint-Etienne (FRA) 2017,https://ifsc.results.info/event/1023/,EYCH_St.Etienne_2017,25/11/2017 – 26/11/2017
2017,"PanAmerican Youth Championship (L, S, B) - Montreal (CAN) 2017",https://ifsc.results.info/event/1024/,PAC Montreal,30/10/2017 – 05/11/2017
2017,PanAmerican Youth Championship Combined - Montreal (CAN) 2017,https://ifsc.results.info/event/1025/,PAC Montreal Comb,29/10/2017 – 30/10/2017
2017,"Oceania Continental Championships & Oceania Youth Championships (L,S,B) - Noumea (FRA) 2017",https://ifsc.results.info/event/1026/,Oceania Championship,12/10/2017 – 15/10/2017
2017,3rd CISM World Winter Games - Sochi (RUS) 2017,https://ifsc.results.info/event/1027/,CISM2017,22/02/2017 – 27/02/2017
2017,The World Games 2017 - Wroclaw (POL) 2017,https://ifsc.results.info/event/1028/,Bri_Paraclimbing_17,26/07/2017
2017,"African Youth A YOG - Johannesburg, Gauteng (RSA) 2017",https://ifsc.results.info/event/1029/,YOG17,07/12/2017 – 08/12/2017
1991,UIAA World Championship - Frankfurt 1991,https://ifsc.results.info/event/103/,WM-F,01/10/1991 – 02/10/1991
2017,Promotional Event Kailas x Just Climb Cup (B) - Hong Kong (HKG) 2017,https://ifsc.results.info/event/1030/,KranjWC,26/11/2016 – 27/11/2016
2017,Promotional Event Gravical (B) - Singapore (SGP) 2017,https://ifsc.results.info/event/1031/,XiamenWC,22/10/2016 – 23/10/2016
2017,Promo Event - The Climbing Works International Festival (B) - Sheffield (GBR) 2017,https://ifsc.results.info/event/1032/,Promo Sheffield,18/03/2017 – 19/03/2017
2017,Master Event - Studio Bloc Masters 2017 - Pfungstadt (GER) 2017,https://ifsc.results.info/event/1033/,Studio Bloc Masters,25/03/2017 – 26/03/2017
2017,Promotional Event - Melloblocco (ITA) 2017,https://ifsc.results.info/event/1034/,EYC_POL_17,12/05/2017 – 13/05/2017
2017,Promo Event - The Rock Ljubljana (B) - (SLO) 2017,https://ifsc.results.info/event/1035/,Montpellier2017,24/05/2017 – 28/05/2017
2017,Promotional Event (B) - Climbing Boulder Montpellier (FRA) 2017,https://ifsc.results.info/event/1036/,EYC_POR_17,20/05/2017 – 21/05/2017
2017,Asia Sports For All Pumpfest - Singapore (SGP) 2017,https://ifsc.results.info/event/1037/,SportsForAll2017,15/06/2017 – 18/06/2017
2017,Promo Event - Millau Natural Games (B) - (FRA) 2017,https://ifsc.results.info/event/1038/,EYC_AUT_L_17,24/06/2017 – 25/06/2017
2017,"Intl. Youth Event - Petzen Climbing Trophy (L, S, B) - Petzen (AUT) 2017",https://ifsc.results.info/event/1039/,VillarsWC,07/07/2017 – 08/07/2017
1991,UIAA Worldcup - Tokio 1991,https://ifsc.results.info/event/104/,W-To,15/10/1991 – 16/10/1991
2017,Intl. Event - Rock Junior - Arco (ITA) 2017,https://ifsc.results.info/event/1040/,ArcoWC,25/08/2017 – 26/08/2017
2017,"Intl. Event (L, B) - ROCKMASTER - Arco (ITA) 2017",https://ifsc.results.info/event/1041/,Arco_RJ_2016,24/08/2017 – 27/08/2017
2017,Promotional Event Bouldering Championship - Bangalore (IND) 2017,https://ifsc.results.info/event/1042/,WYCH Innsbruck,30/08/2017 – 10/09/2017
2017,Master Event - Adidas Rockstars (B) - Stuttgart (GER) 2017,https://ifsc.results.info/event/1043/,Adidas Rockstars 17,15/09/2017 – 16/09/2017
2017,Promotional Event - 24 heures du mur (L) - Oloron Sainte Marie (FRA) 2017,https://ifsc.results.info/event/1044/,Oloron 2017,30/09/2017 – 01/10/2017
2017,China Open Qualification - Guangzhou (CHN) 2017,https://ifsc.results.info/event/1045/,China_Open_17,17/11/2017
2017,China Open - Guangzhou (CHN) 2017,https://ifsc.results.info/event/1046/,China_Open_17,18/11/2017 – 19/11/2017
2018,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2018,https://ifsc.results.info/event/1047/,MeiringenWC,13/04/2018 – 14/04/2018
2018,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",https://ifsc.results.info/event/1048/,MoscowWC,21/04/2018 – 22/04/2018
2018,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",https://ifsc.results.info/event/1049/,EYC_Graz_18,28/04/2018 – 29/04/2018
1991,UIAA Worldcup - Nürnberg 1991,https://ifsc.results.info/event/105/,W-Nü,30/10/1991 – 31/10/1991
2018,"IFSC Climbing Worldcup (B,S) - Tai'an (CHN) 2018",https://ifsc.results.info/event/1050/,TaianWC,12/05/2018 – 13/05/2018
2018,IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018,https://ifsc.results.info/event/1051/,TokyoWC,02/06/2018 – 03/06/2018
2018,IFSC Climbing Worldcup (B) - Vail (USA) 2018,https://ifsc.results.info/event/1052/,Asia_Cup_18,15/06/2018 – 17/06/2018
2018,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2018",https://ifsc.results.info/event/1053/,Ims_Paraclimbing_18,07/07/2018 – 08/07/2018
2018,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018",https://ifsc.results.info/event/1054/,EYC_L_MUN,07/07/2018 – 08/07/2018
2018,IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,https://ifsc.results.info/event/1055/,Bri_Paraclimbing_18,18/07/2018
2018,"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",https://ifsc.results.info/event/1056/,MunichWC,17/08/2018 – 18/08/2018
2018,IFSC Climbing Worldcup (B) - Munich (GER) 2018,https://ifsc.results.info/event/1057/,WYCH Central Saanich,09/08/2018 – 16/08/2018
2018,IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,https://ifsc.results.info/event/1058/,KranjWC,29/09/2018 – 30/09/2018
2018,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018",https://ifsc.results.info/event/1059/,Wujiang,20/10/2018 – 21/10/2018
1991,UIAA Worldcup - Birmingham 1991,https://ifsc.results.info/event/106/,W-Bi,04/12/1991 – 05/12/1991
2018,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018",https://ifsc.results.info/event/1060/,XiamenWC,27/10/2018 – 28/10/2018
2018,IFSC Climbing World Championships - Innsbruck (AUT) 2018,https://ifsc.results.info/event/1061/,WCH Innsbruck,06/09/2018 – 16/09/2018
2018,IFSC Climbing World Championships Combined - Innsbruck (AUT) 2018,https://ifsc.results.info/event/1062/,WCH Combined,15/09/2018 – 16/09/2018
2018,IFSC Youth World Championships - Moscow (RUS) 2018,https://ifsc.results.info/event/1063/,ArcoWC,27/07/2018 – 28/07/2018
2018,IFSC Paraclimbing World Championships - Innsbruck (AUT) 2018,https://ifsc.results.info/event/1064/,Paraclimbing_WCH_18,10/09/2018 – 16/09/2018
