Local,Date,Href
W-Wi,27/04/1990 – 28/04/1990,https://ifsc.results.info/event/88/
O-Ma,26/07/1990 – 27/07/1990,https://ifsc.results.info/event/94/
O-Wi,27/04/1990 – 28/04/1990,https://ifsc.results.info/event/89/
W-Ma,26/07/1990 – 27/07/1990,https://ifsc.results.info/event/95/
W-Be,18/08/1990 – 19/08/1990,https://ifsc.results.info/event/90/
O-Be,18/08/1990 – 19/08/1990,https://ifsc.results.info/event/96/
O-Nü,31/10/1990 – 01/11/1990,https://ifsc.results.info/event/91/
W-Nü,31/10/1990 – 01/11/1990,https://ifsc.results.info/event/97/
O-Ly,14/11/1990 – 15/11/1990,https://ifsc.results.info/event/92/
W-Ly,14/11/1990 – 15/11/1990,https://ifsc.results.info/event/98/
O-Ba,13/12/1990 – 14/12/1990,https://ifsc.results.info/event/93/
W-Ba,13/12/1990 – 14/12/1990,https://ifsc.results.info/event/99/
O-Wi,25/04/1991 – 26/04/1991,https://ifsc.results.info/event/100/
O-Cl,19/08/1991 – 20/08/1991,https://ifsc.results.info/event/108/
W-Wi,25/04/1991 – 26/04/1991,https://ifsc.results.info/event/112/
W-Cl,29/08/1991 – 30/08/1991,https://ifsc.results.info/event/101/
W-In,19/09/1991 – 20/09/1991,https://ifsc.results.info/event/102/
O-In,19/09/1991 – 20/09/1991,https://ifsc.results.info/event/107/
WM-F,01/10/1991 – 02/10/1991,https://ifsc.results.info/event/103/
W-To,15/10/1991 – 16/10/1991,https://ifsc.results.info/event/104/
O-To,15/10/1991 – 16/10/1991,https://ifsc.results.info/event/109/
W-Nü,30/10/1991 – 31/10/1991,https://ifsc.results.info/event/105/
O-Nü,30/10/1991 – 31/10/1991,https://ifsc.results.info/event/110/
W-Bi,04/12/1991 – 05/12/1991,https://ifsc.results.info/event/106/
O-Bi,04/12/1991 – 05/12/1991,https://ifsc.results.info/event/111/
M-Ch,29/01/1992 – 30/01/1992,https://ifsc.results.info/event/121/
W-Zü,30/04/1992 – 01/05/1992,https://ifsc.results.info/event/119/
J-WM,26/02/1992 – 27/02/1992,https://ifsc.results.info/event/113/
M-Ar,31/08/1992 – 01/09/1992,https://ifsc.results.info/event/122/
M-Se,20/07/1992 – 21/07/1992,https://ifsc.results.info/event/123/
EM-F,17/09/1992 – 18/09/1992,https://ifsc.results.info/event/120/
W-Ko,07/10/1992 – 08/10/1992,https://ifsc.results.info/event/114/
W-Nü,29/10/1992 – 30/10/1992,https://ifsc.results.info/event/115/
W-La,19/11/1992 – 20/11/1992,https://ifsc.results.info/event/116/
W-Pö,13/11/1992 – 14/11/1992,https://ifsc.results.info/event/117/
W-Bi,10/12/1992 – 11/12/1992,https://ifsc.results.info/event/118/
WM-I,29/04/1993 – 30/04/1993,https://ifsc.results.info/event/124/
W-Fr,01/04/1993 – 02/04/1993,https://ifsc.results.info/event/125/
W-Zü,14/05/1993 – 15/05/1993,https://ifsc.results.info/event/126/
M-Py,20/05/1993 – 21/05/1993,https://ifsc.results.info/event/131/
M-Se,21/07/1993 – 22/07/1993,https://ifsc.results.info/event/127/
W-To,27/05/1993 – 28/05/1993,https://ifsc.results.info/event/132/
W-Bu,26/08/1993 – 27/08/1993,https://ifsc.results.info/event/128/
W-Nü,04/11/1993 – 05/11/1993,https://ifsc.results.info/event/133/
M-Ar,10/09/1993 – 11/09/1993,https://ifsc.results.info/event/129/
W-Vi,15/04/1994 – 16/04/1994,https://ifsc.results.info/event/130/
W-La,09/12/1993 – 10/12/1993,https://ifsc.results.info/event/134/
M-Se,20/07/1994 – 21/07/1994,https://ifsc.results.info/event/135/
M-LA,27/07/1994 – 28/07/1994,https://ifsc.results.info/event/140/
W-Mo,28/04/1994 – 29/04/1994,https://ifsc.results.info/event/141/
M-Ar,09/09/1994 – 10/09/1994,https://ifsc.results.info/event/142/
94-JWM,21/10/1994 – 22/10/1994,https://ifsc.results.info/event/139/
W-Ai,17/11/1994 – 18/11/1994,https://ifsc.results.info/event/137/
W-Fr,06/04/1995 – 07/04/1995,https://ifsc.results.info/event/138/
W-Bi,25/11/1994 – 26/11/1994,https://ifsc.results.info/event/143/
WM-G,05/05/1995 – 06/05/1995,https://ifsc.results.info/event/145/
M-Se,28/07/1995 – 29/07/1995,https://ifsc.results.info/event/149/
M-LA,06/08/1995 – 07/08/1995,https://ifsc.results.info/event/150/
95JWM,05/10/1995 – 06/10/1995,https://ifsc.results.info/event/151/
M-Ar,09/09/1995 – 10/09/1995,https://ifsc.results.info/event/148/
W-Mo,21/10/1995 – 22/10/1995,https://ifsc.results.info/event/144/
W-Bi,24/11/1995 – 25/11/1995,https://ifsc.results.info/event/146/
W-Ai,07/12/1995 – 08/12/1995,https://ifsc.results.info/event/147/
E-Dortmund,07/06/1996 – 08/06/1996,https://ifsc.results.info/event/155/
ESPN,24/06/1996 – 25/06/1996,https://ifsc.results.info/event/156/
E-Ravenna,28/06/1996 – 29/06/1996,https://ifsc.results.info/event/161/
M-Se,24/07/1996 – 25/07/1996,https://ifsc.results.info/event/157/
M-Ar,06/09/1996 – 07/09/1996,https://ifsc.results.info/event/162/
EmPa,27/01/1996 – 28/01/1996,https://ifsc.results.info/event/163/
E-Skofja Loka,13/09/1996 – 14/09/1996,https://ifsc.results.info/event/158/
W-Ekaterinburg,18/09/1996 – 19/09/1996,https://ifsc.results.info/event/152/
E-Bern,27/09/1996 – 28/09/1996,https://ifsc.results.info/event/159/
W-Kranj,23/11/1996 – 24/11/1996,https://ifsc.results.info/event/160/
E-Prag,25/10/1996 – 26/10/1996,https://ifsc.results.info/event/153/
W-Graz,14/12/1996 – 15/12/1996,https://ifsc.results.info/event/154/
WM,31/01/1997 – 01/02/1997,https://ifsc.results.info/event/164/
E-Bolzano,03/05/1997 – 04/05/1997,https://ifsc.results.info/event/171/
E-Dortmund,31/05/1997 – 01/06/1997,https://ifsc.results.info/event/172/
X-Gam,22/06/1997 – 23/06/1997,https://ifsc.results.info/event/176/
M-Se,26/07/1997 – 27/07/1997,https://ifsc.results.info/event/173/
E-Chocen,28/06/1997 – 29/06/1997,https://ifsc.results.info/event/177/
E-Bern,23/08/1997 – 24/08/1997,https://ifsc.results.info/event/174/
E-Parma,20/09/1997 – 21/09/1997,https://ifsc.results.info/event/165/
W-Pr,23/10/1997 – 24/10/1997,https://ifsc.results.info/event/178/
M-Ar,12/09/1997 – 13/09/1997,https://ifsc.results.info/event/175/
W-Co,04/09/1997 – 05/09/1997,https://ifsc.results.info/event/166/
W-Kr,08/11/1997 – 09/11/1997,https://ifsc.results.info/event/167/
JWM,13/11/1997 – 14/11/1997,https://ifsc.results.info/event/170/
W-Bi,28/11/1997 – 29/11/1997,https://ifsc.results.info/event/168/
W-Im,21/11/1997 – 22/11/1997,https://ifsc.results.info/event/169/
EC-Nürnberg,02/04/1998 – 03/04/1998,https://ifsc.results.info/event/184/
E-Dortmund,11/06/1998 – 12/06/1998,https://ifsc.results.info/event/185/
E-Triest,03/07/1998 – 04/07/1998,https://ifsc.results.info/event/186/
