ranking_category_id,ranking_category,dcat_name,discipline_kind,ranking_name,ranking_id,ranking_from,ranking_to,event_id,event_name,location,event_discipline_id,event_discipline_kind,starts_at,ends_at,depreciation_factor,field_factor
1,LEAD Men,LEAD Men,lead,CUWR v4,5,2025-05-08T00:00:00.000Z,2026-05-07T00:00:00.000Z,1412,IFSC World Cup Innsbruck 2025,"Innsbruck, AUT",1725,lead,2025-06-24,2025-06-29,1,1.0
1,LEAD Men,LEAD Men,lead,CUWR v4,5,2025-05-08T00:00:00.000Z,2026-05-07T00:00:00.000Z,1414,IFSC World Cup Chamonix 2025,"Chamonix, FRA",1727,lead,2025-07-10,2025-07-13,1,1.0
1,LEAD Men,LEAD Men,lead,CUWR v4,5,2025-05-08T00:00:00.000Z,2026-05-07T00:00:00.000Z,1416,IFSC World Cup Koper 2025,"Koper, SLO",1730,lead,2025-09-04,2025-09-06,1,1.0
1,LEAD Men,LEAD Men,lead,CUWR v4,5,2025-05-08T00:00:00.000Z,2026-05-07T00:00:00.000Z,1417,IFSC World Championships Seoul 2025,"Seoul, KOR",1731,lead,2025-09-20,2025-09-28,1,2.0
1,LEAD Men,LEAD Men,lead,CUWR v4,5,2025-05-08T00:00:00.000Z,2026-05-07T00:00:00.000Z,1427,IFSC European Cup Campitello di Fassa 2025,"Campitello di Fassa, ITA",1743,lead,2025-06-20,2025-06-22,1,0.1375
1,LEAD Men,LEAD Men,lead,CUWR v4,5,2025-05-08T00:00:00.000Z,2026-05-07T00:00:00.000Z,1428,IFSC European Cup Ostermundigen 2025,"Ostermundigen, SUI",1744,lead,2025-07-03,2025-07-05,1,0.1375
1,LEAD Men,LEAD Men,lead,CUWR v4,5,2025-05-08T00:00:00.000Z,2026-05-07T00:00:00.000Z,1449,IFSC European Cup Toulouse-Tournefeuille 2025,"Toulouse, FRA",1766,lead,2025-10-30,2025-11-01,1,0.1375
1,LEAD Men,LEAD Men,lead,CUWR v4,5,2025-05-08T00:00:00.000Z,2026-05-07T00:00:00.000Z,1454,IFSC World Cup Comunidad de Madrid 2025,"Madrid, ESP",1771,lead,2025-07-17,2025-07-19,1,1.0
1,LEAD Men,LEAD Men,lead,CUWR v4,5,2025-05-08T00:00:00.000Z,2026-05-07T00:00:00.000Z,1465,IFSC Pan American Cup Armenia 2025,"Armenia, COL",1785,lead,2025-11-22,2025-11-28,1,0.125
1,LEAD Men,LEAD Men,lead,CUWR v4,5,2025-05-08T00:00:00.000Z,2026-05-07T00:00:00.000Z,1469,IFSC Asian Cup Almaty 2025,"Almaty, KAZ",1794,lead,2025-08-28,2025-08-31,1,0.15
1,LEAD Men,LEAD Men,lead,CUWR v4,5,2025-05-08T00:00:00.000Z,2026-05-07T00:00:00.000Z,1515,World Climbing Asia Championship Meishan 2026,"Meishan, China",1855,lead,2026-04-07,2026-04-12,1,0.275
2,SPEED Men,SPEED Men,speed,CUWR v4,5,2025-05-08T00:00:00.000Z,2026-05-07T00:00:00.000Z,1413,IFSC World Cup Krakow 2025,"Krakow, POL",1726,speed,2025-07-04,2025-07-06,1,1.0
2,SPEED Men,SPEED Men,speed,CUWR v4,5,2025-05-08T00:00:00.000Z,2026-05-07T00:00:00.000Z,1414,IFSC World Cup Chamonix 2025,"Chamonix, FRA",1728,speed,2025-07-10,2025-07-13,1,1.0
2,SPEED Men,SPEED Men,speed,CUWR v4,5,2025-05-08T00:00:00.000Z,2026-05-07T00:00:00.000Z,1417,IFSC World Championships Seoul 2025,"Seoul, KOR",1732,speed,2025-09-20,2025-09-28,1,2.0
2,SPEED Men,SPEED Men,speed,CUWR v4,5,2025-05-08T00:00:00.000Z,2026-05-07T00:00:00.000Z,1429,IFSC European Cup Mezzolombardo 2025,"Mezzolombardo, ITA",1745,speed,2025-06-06,2025-06-07,1,0.1375
2,SPEED Men,SPEED Men,speed,CUWR v4,5,2025-05-08T00:00:00.000Z,2026-05-07T00:00:00.000Z,1430,IFSC European Cup Zakopane 2025,"Zakopane, POL",1746,speed,2025-06-13,2025-06-14,1,0.1375
2,SPEED Men,SPEED Men,speed,CUWR v4,5,2025-05-08T00:00:00.000Z,2026-05-07T00:00:00.000Z,1431,IFSC European Cup Soure 2025 [CANCELLED],"Soure, POR",1747,speed,2025-07-18,2025-07-19,1,
2,SPEED Men,SPEED Men,speed,CUWR v4,5,2025-05-08T00:00:00.000Z,2026-05-07T00:00:00.000Z,1432,IFSC European Cup St. Pölten 2025,"St. Pölten, AUT",1748,speed,2025-08-16,2025-08-17,1,0.1375
2,SPEED Men,SPEED Men,speed,CUWR v4,5,2025-05-08T00:00:00.000Z,2026-05-07T00:00:00.000Z,1447,IFSC European Cup Laval 2025,"Laval, FRA",1764,speed,2025-10-23,2025-10-25,1,0.1375
2,SPEED Men,SPEED Men,speed,CUWR v4,5,2025-05-08T00:00:00.000Z,2026-05-07T00:00:00.000Z,1455,IFSC World Cup Denver 2025,"Denver, USA",1772,speed,2025-05-31,2025-06-02,1,1.0
