year,event_id,event,cup_id,cup_name,location,country,local_start_date,local_end_date,event_url
1990,88,"Weltcup, Wien 1990",,,W-Wi,,1990-04-27,1990-04-28,https://ifsc.results.info//api/v1/events/88
1990,94,"Weltcup, Open, Wien 1990",,,O-Wi,,1990-04-27,1990-04-28,https://ifsc.results.info//api/v1/events/94
1990,89,"Weltcup, Madonna di Campiglio 1990",,,W-Ma,,1990-07-26,1990-07-27,https://ifsc.results.info//api/v1/events/89
1990,95,"Weltcup, Open, Madonna di Campiglio 1990",,,O-Ma,,1990-07-26,1990-07-27,https://ifsc.results.info//api/v1/events/95
1990,90,"Weltcup, Berkeley 1990",,,W-Be,,1990-08-18,1990-08-19,https://ifsc.results.info//api/v1/events/90
1990,96,"Weltcup, Open, Berkeley 1990",,,O-Be,,1990-08-18,1990-08-19,https://ifsc.results.info//api/v1/events/96
1990,91,"Weltcup, Nürnberg 1990",,,W-Nü,,1990-10-31,1990-11-01,https://ifsc.results.info//api/v1/events/91
1990,97,"Weltcup, Open, Nürnberg 1990",,,O-Nü,,1990-10-31,1990-11-01,https://ifsc.results.info//api/v1/events/97
1990,92,"Weltcup, Lyon 1990",,,W-Ly,,1990-11-14,1990-11-15,https://ifsc.results.info//api/v1/events/92
1990,98,"Weltcup, Open, Lyon 1990",,,O-Ly,,1990-11-14,1990-11-15,https://ifsc.results.info//api/v1/events/98
1990,93,"Weltcup, Barcelona 1990",,,W-Ba,,1990-12-13,1990-12-14,https://ifsc.results.info//api/v1/events/93
1990,99,"Weltcup, Open, Barcelona 1990",,,O-Ba,,1990-12-13,1990-12-14,https://ifsc.results.info//api/v1/events/99
1991,100,UIAA Worldcup - Wien 1991,9,UIAA Climbing-Worldcup 1991,W-Wi,,1991-04-25,1991-04-26,https://ifsc.results.info//api/v1/events/100
1991,108,"Weltcup Open, Wien 1991",,,O-Wi,,1991-04-25,1991-04-26,https://ifsc.results.info//api/v1/events/108
1991,112,"Weltcup Open, Clusone 1991",,,O-Cl,,1991-08-19,1991-08-20,https://ifsc.results.info//api/v1/events/112
1991,101,UIAA Worldcup - Clusone 1991,9,UIAA Climbing-Worldcup 1991,W-Cl,,1991-08-29,1991-08-30,https://ifsc.results.info//api/v1/events/101
1991,102,UIAA Worldcup - Innsbruck 1991,9,UIAA Climbing-Worldcup 1991,W-In,,1991-09-19,1991-09-20,https://ifsc.results.info//api/v1/events/102
1991,107,"Weltcup Open, Innsbruck 1991",,,O-In,,1991-09-19,1991-09-20,https://ifsc.results.info//api/v1/events/107
1991,103,UIAA World Championship - Frankfurt 1991,,,WM-F,,1991-10-01,1991-10-02,https://ifsc.results.info//api/v1/events/103
1991,104,UIAA Worldcup - Tokio 1991,9,UIAA Climbing-Worldcup 1991,W-To,,1991-10-15,1991-10-16,https://ifsc.results.info//api/v1/events/104
1991,109,"Weltcup Open, Tokio 1991",,,O-To,,1991-10-15,1991-10-16,https://ifsc.results.info//api/v1/events/109
1991,105,UIAA Worldcup - Nürnberg 1991,9,UIAA Climbing-Worldcup 1991,W-Nü,,1991-10-30,1991-10-31,https://ifsc.results.info//api/v1/events/105
1991,110,"Weltcup Open, Nürnberg 1991",,,O-Nü,,1991-10-30,1991-10-31,https://ifsc.results.info//api/v1/events/110
1991,106,UIAA Worldcup - Birmingham 1991,9,UIAA Climbing-Worldcup 1991,W-Bi,,1991-12-04,1991-12-05,https://ifsc.results.info//api/v1/events/106
1991,111,"Weltcup Open, Birmingham 1991",,,O-Bi,,1991-12-04,1991-12-05,https://ifsc.results.info//api/v1/events/111
1992,121,Masters Chambery 1992,,,M-Ch,,1992-01-29,1992-01-30,https://ifsc.results.info//api/v1/events/121
1992,119,UIAA Youth Worldchampionship - Basel 1992,,,J-WM,,1992-02-26,1992-02-27,https://ifsc.results.info//api/v1/events/119
1992,113,UIAA Worldcup - Zürich 1992,10,UIAA Climbing-Worldcup 1992,W-Zü,,1992-04-30,1992-05-01,https://ifsc.results.info//api/v1/events/113
1992,122,Masters Serre Chevalier 1992,,,M-Se,,1992-07-20,1992-07-21,https://ifsc.results.info//api/v1/events/122
1992,123,UIAA Masters - Rock Masters Arco 1992,,,M-Ar,,1992-08-31,1992-09-01,https://ifsc.results.info//api/v1/events/123
1992,120,UIAA European Championship - Frankfurt 1992,,,EM-F,,1992-09-17,1992-09-18,https://ifsc.results.info//api/v1/events/120
1992,114,UIAA Worldcup - Kobe 1992,10,UIAA Climbing-Worldcup 1992,W-Ko,,1992-10-07,1992-10-08,https://ifsc.results.info//api/v1/events/114
1992,115,UIAA Worldcup - Nürnberg 1992,10,UIAA Climbing-Worldcup 1992,W-Nü,,1992-10-29,1992-10-30,https://ifsc.results.info//api/v1/events/115
1992,116,UIAA Worldcup - St. Pölten 1992,10,UIAA Climbing-Worldcup 1992,W-Pö,,1992-11-13,1992-11-14,https://ifsc.results.info//api/v1/events/116
1992,117,UIAA Worldcup - Laval 1992,10,UIAA Climbing-Worldcup 1992,W-La,,1992-11-19,1992-11-20,https://ifsc.results.info//api/v1/events/117
1992,118,UIAA Worldcup - Birmingham 1992,10,UIAA Climbing-Worldcup 1992,W-Bi,,1992-12-10,1992-12-11,https://ifsc.results.info//api/v1/events/118
1993,124,UIAA Worldcup - Frankfurt 1993,11,UIAA Climbing-Worldcup 1993,W-Fr,,1993-04-01,1993-04-02,https://ifsc.results.info//api/v1/events/124
1993,125,UIAA World Championship - Innsbruck 1993,,,WM-I,,1993-04-29,1993-04-30,https://ifsc.results.info//api/v1/events/125
1993,126,UIAA Worldcup - Zürich 1993,11,UIAA Climbing-Worldcup 1993,W-Zü,,1993-05-14,1993-05-15,https://ifsc.results.info//api/v1/events/126
1993,131,Jeux de Pyrinae - Ainsa 1993,,,M-Py,,1993-05-20,1993-05-21,https://ifsc.results.info//api/v1/events/131
1993,127,UIAA Worldcup - Toulon 1993,11,UIAA Climbing-Worldcup 1993,W-To,,1993-05-27,1993-05-28,https://ifsc.results.info//api/v1/events/127
1993,132,Masters Serre-Chevalier 1993,,,M-Se,,1993-07-21,1993-07-22,https://ifsc.results.info//api/v1/events/132
1993,128,UIAA Worldcup - Black See 1993,11,UIAA Climbing-Worldcup 1993,W-Bu,,1993-08-26,1993-08-27,https://ifsc.results.info//api/v1/events/128
1993,133,UIAA Masters - Rock Masters Arco 1993,,,M-Ar,,1993-09-10,1993-09-11,https://ifsc.results.info//api/v1/events/133
1993,129,UIAA Worldcup - Nürnberg 1993,11,UIAA Climbing-Worldcup 1993,W-Nü,,1993-11-04,1993-11-05,https://ifsc.results.info//api/v1/events/129
1993,130,UIAA Worldcup - Laval 1993,11,UIAA Climbing-Worldcup 1993,W-La,,1993-12-09,1993-12-10,https://ifsc.results.info//api/v1/events/130
1994,134,UIAA Worldcup - Villach 1994,12,UIAA Climbing-Worldcup 1994,W-Vi,,1994-04-15,1994-04-16,https://ifsc.results.info//api/v1/events/134
1994,135,UIAA Worldcup - Moscow 1994,12,UIAA Climbing-Worldcup 1994,W-Mo,,1994-04-28,1994-04-29,https://ifsc.results.info//api/v1/events/135
1994,140,UIAA Masters - Serre Chevalier 1994,,,M-Se,,1994-07-20,1994-07-21,https://ifsc.results.info//api/v1/events/140
1994,141,UIAA Masters - L'Argentiere 1994,,,M-LA,,1994-07-27,1994-07-28,https://ifsc.results.info//api/v1/events/141
1994,142,UIAA Masters - Rock Masters Arco 1994,,,M-Ar,,1994-09-09,1994-09-10,https://ifsc.results.info//api/v1/events/142
1994,139,UIAA Youth Worldchampionship - Leipzig 1994,,,94-JWM,,1994-10-21,1994-10-22,https://ifsc.results.info//api/v1/events/139
1994,137,UIAA Worldcup - Aix-les-Bains 1994,12,UIAA Climbing-Worldcup 1994,W-Ai,,1994-11-17,1994-11-18,https://ifsc.results.info//api/v1/events/137
1994,138,UIAA Worldcup - Birmingham 1994,12,UIAA Climbing-Worldcup 1994,W-Bi,,1994-11-25,1994-11-26,https://ifsc.results.info//api/v1/events/138
1995,143,UIAA Worldcup - Frankfurt 1995,13,UIAA Climbing-Worldcup 1995,W-Fr,,1995-04-06,1995-04-07,https://ifsc.results.info//api/v1/events/143
1995,145,UIAA Worldchampionchip - Genève 1995,,,WM-G,,1995-05-05,1995-05-06,https://ifsc.results.info//api/v1/events/145
1995,149,UIAA Masters - Serre Chevalier 1995,,,M-Se,,1995-07-28,1995-07-29,https://ifsc.results.info//api/v1/events/149
1995,150,UIAA Bouldering Masters - L'Argentier 1995,,,M-LA,,1995-08-06,1995-08-07,https://ifsc.results.info//api/v1/events/150
1995,151,UIAA Masters - Rock Masters Arco 1995,,,M-Ar,,1995-09-09,1995-09-10,https://ifsc.results.info//api/v1/events/151
1995,148,UIAA Youth Worldchampionship - Laval 1995,,,95JWM,,1995-10-05,1995-10-06,https://ifsc.results.info//api/v1/events/148
1995,144,UIAA Worldcup - Moscow 1995,13,UIAA Climbing-Worldcup 1995,W-Mo,,1995-10-21,1995-10-22,https://ifsc.results.info//api/v1/events/144
1995,146,UIAA Worldcup - Birmingham 1995,13,UIAA Climbing-Worldcup 1995,W-Bi,,1995-11-24,1995-11-25,https://ifsc.results.info//api/v1/events/146
1995,147,UIAA Worldcup - Aix-les-Bains 1995,13,UIAA Climbing-Worldcup 1995,W-Ai,,1995-12-07,1995-12-08,https://ifsc.results.info//api/v1/events/147
1996,155,European Championship - Paris 1996,,,EmPa,,1996-01-27,1996-01-28,https://ifsc.results.info//api/v1/events/155
1996,156,European Youth Cup - Dortmund (GER) 1996,15,European Youth Cup 1996,E-Dortmund,,1996-06-07,1996-06-08,https://ifsc.results.info//api/v1/events/156
1996,161,"UIAA Masters - ESPN X-Games - Newport, USA 1996",,,ESPN,,1996-06-24,1996-06-25,https://ifsc.results.info//api/v1/events/161
1996,157,European Youth Cup - Ravenna (ITA) 1996,15,European Youth Cup 1996,E-Ravenna,,1996-06-28,1996-06-29,https://ifsc.results.info//api/v1/events/157
1996,162,UIAA Masters - Serre Chevalier 1996,,,M-Se,,1996-07-24,1996-07-25,https://ifsc.results.info//api/v1/events/162
1996,163,UIAA Masters - Rock Masters Arco 1996,,,M-Ar,,1996-09-06,1996-09-07,https://ifsc.results.info//api/v1/events/163
1996,158,European Youth Cup - Skofja Loka (SLO) 1996,15,European Youth Cup 1996,E-Skofja Loka,,1996-09-13,1996-09-14,https://ifsc.results.info//api/v1/events/158
1996,152,UIAA Worldcup - Ekaterinburg 1996,14,UIAA Climbing-Worldcup 1996,W-Ekaterinburg,,1996-09-18,1996-09-19,https://ifsc.results.info//api/v1/events/152
1996,159,European Youth Cup - Bern (SUI) 1996,15,European Youth Cup 1996,E-Bern,,1996-09-27,1996-09-28,https://ifsc.results.info//api/v1/events/159
1996,160,European Youth Cup - Prag (CZE) 1996,15,European Youth Cup 1996,E-Prag,,1996-10-25,1996-10-26,https://ifsc.results.info//api/v1/events/160
1996,153,UIAA Worldcup - Kranj 1996,14,UIAA Climbing-Worldcup 1996,W-Kranj,,1996-11-23,1996-11-24,https://ifsc.results.info//api/v1/events/153
1996,154,UIAA Worldcup - Graz 1996,14,UIAA Climbing-Worldcup 1996,W-Graz,,1996-12-14,1996-12-15,https://ifsc.results.info//api/v1/events/154
1997,164,UIAA World Championchip - Paris 1997,,,WM,,1997-01-31,1997-02-01,https://ifsc.results.info//api/v1/events/164
1997,171,European Youth Cup - Bolzano (ITA) 1997,17,European Youth Cup 1997,E-Bolzano,,1997-05-03,1997-05-04,https://ifsc.results.info//api/v1/events/171
1997,172,European Youth Cup - Dortmund (GER) 1997,17,European Youth Cup 1997,E-Dortmund,,1997-05-31,1997-06-01,https://ifsc.results.info//api/v1/events/172
1997,176,"UIAA Masters - San Diego X-Games, USA 1997",,,X-Gam,,1997-06-22,1997-06-23,https://ifsc.results.info//api/v1/events/176
1997,173,European Youth Cup - Chocen (CZE) 1997,17,European Youth Cup 1997,E-Chocen,,1997-06-28,1997-06-29,https://ifsc.results.info//api/v1/events/173
1997,177,UIAA Masters - Serre Chevalier 1997,,,M-Se,,1997-07-26,1997-07-27,https://ifsc.results.info//api/v1/events/177
1997,174,European Youth Cup - Bern (SUI) 1997,17,European Youth Cup 1997,E-Bern,,1997-08-23,1997-08-24,https://ifsc.results.info//api/v1/events/174
1997,165,UIAA Worldcup - Courmayeur 1997,16,UIAA Climbing-Worldcup 1997,W-Co,,1997-09-04,1997-09-05,https://ifsc.results.info//api/v1/events/165
1997,178,UIAA Masters - Rock Masters Arco 1997,,,M-Ar,,1997-09-12,1997-09-13,https://ifsc.results.info//api/v1/events/178
1997,175,European Youth Cup - Parma (ITA) 1997,17,European Youth Cup 1997,E-Parma,,1997-09-20,1997-09-21,https://ifsc.results.info//api/v1/events/175
1997,166,UIAA Worldcup - Prag 1997,16,UIAA Climbing-Worldcup 1997,W-Pr,,1997-10-23,1997-10-24,https://ifsc.results.info//api/v1/events/166
