Year,Event Title,Href
1990,"Weltcup, Wien 1990",https://ifsc.results.info/event/88/
1990,"Weltcup, Open, Wien 1990",https://ifsc.results.info/event/94/
1990,"Weltcup, Madonna di Campiglio 1990",https://ifsc.results.info/event/89/
1990,"Weltcup, Open, Madonna di Campiglio 1990",https://ifsc.results.info/event/95/
1990,"Weltcup, Berkeley 1990",https://ifsc.results.info/event/90/
1990,"Weltcup, Open, Berkeley 1990",https://ifsc.results.info/event/96/
1990,"Weltcup, Nürnberg 1990",https://ifsc.results.info/event/91/
1990,"Weltcup, Open, Nürnberg 1990",https://ifsc.results.info/event/97/
1990,"Weltcup, Lyon 1990",https://ifsc.results.info/event/92/
1990,"Weltcup, Open, Lyon 1990",https://ifsc.results.info/event/98/
1990,"Weltcup, Barcelona 1990",https://ifsc.results.info/event/93/
1990,"Weltcup, Open, Barcelona 1990",https://ifsc.results.info/event/99/
1991,UIAA Worldcup - Wien 1991,https://ifsc.results.info/event/100/
1991,"Weltcup Open, Wien 1991",https://ifsc.results.info/event/108/
1991,"Weltcup Open, Clusone 1991",https://ifsc.results.info/event/112/
1991,UIAA Worldcup - Clusone 1991,https://ifsc.results.info/event/101/
1991,UIAA Worldcup - Innsbruck 1991,https://ifsc.results.info/event/102/
1991,"Weltcup Open, Innsbruck 1991",https://ifsc.results.info/event/107/
1991,UIAA World Championship - Frankfurt 1991,https://ifsc.results.info/event/103/
1991,UIAA Worldcup - Tokio 1991,https://ifsc.results.info/event/104/
1991,"Weltcup Open, Tokio 1991",https://ifsc.results.info/event/109/
1991,UIAA Worldcup - Nürnberg 1991,https://ifsc.results.info/event/105/
1991,"Weltcup Open, Nürnberg 1991",https://ifsc.results.info/event/110/
1991,UIAA Worldcup - Birmingham 1991,https://ifsc.results.info/event/106/
1991,"Weltcup Open, Birmingham 1991",https://ifsc.results.info/event/111/
1992,Masters Chambery 1992,https://ifsc.results.info/event/121/
1992,UIAA Youth Worldchampionship - Basel 1992,https://ifsc.results.info/event/119/
1992,UIAA Worldcup - Zürich 1992,https://ifsc.results.info/event/113/
1992,Masters Serre Chevalier 1992,https://ifsc.results.info/event/122/
1992,UIAA Masters - Rock Masters Arco 1992,https://ifsc.results.info/event/123/
1992,UIAA European Championship - Frankfurt 1992,https://ifsc.results.info/event/120/
1992,UIAA Worldcup - Kobe 1992,https://ifsc.results.info/event/114/
1992,UIAA Worldcup - Nürnberg 1992,https://ifsc.results.info/event/115/
1992,UIAA Worldcup - St. Pölten 1992,https://ifsc.results.info/event/116/
1992,UIAA Worldcup - Laval 1992,https://ifsc.results.info/event/117/
1992,UIAA Worldcup - Birmingham 1992,https://ifsc.results.info/event/118/
1993,UIAA Worldcup - Frankfurt 1993,https://ifsc.results.info/event/124/
1993,UIAA World Championship - Innsbruck 1993,https://ifsc.results.info/event/125/
1993,UIAA Worldcup - Zürich 1993,https://ifsc.results.info/event/126/
1993,Jeux de Pyrinae - Ainsa 1993,https://ifsc.results.info/event/131/
1993,UIAA Worldcup - Toulon 1993,https://ifsc.results.info/event/127/
1993,Masters Serre-Chevalier 1993,https://ifsc.results.info/event/132/
1993,UIAA Worldcup - Black See 1993,https://ifsc.results.info/event/128/
1993,UIAA Masters - Rock Masters Arco 1993,https://ifsc.results.info/event/133/
1993,UIAA Worldcup - Nürnberg 1993,https://ifsc.results.info/event/129/
1993,UIAA Worldcup - Laval 1993,https://ifsc.results.info/event/130/
1994,UIAA Worldcup - Villach 1994,https://ifsc.results.info/event/134/
1994,UIAA Worldcup - Moscow 1994,https://ifsc.results.info/event/135/
1994,UIAA Masters - Serre Chevalier 1994,https://ifsc.results.info/event/140/
1994,UIAA Masters - L'Argentiere 1994,https://ifsc.results.info/event/141/
1994,UIAA Masters - Rock Masters Arco 1994,https://ifsc.results.info/event/142/
1994,UIAA Youth Worldchampionship - Leipzig 1994,https://ifsc.results.info/event/139/
1994,UIAA Worldcup - Aix-les-Bains 1994,https://ifsc.results.info/event/137/
1994,UIAA Worldcup - Birmingham 1994,https://ifsc.results.info/event/138/
1995,UIAA Worldcup - Frankfurt 1995,https://ifsc.results.info/event/143/
1995,UIAA Worldchampionchip - Genève 1995,https://ifsc.results.info/event/145/
1995,UIAA Masters - Serre Chevalier 1995,https://ifsc.results.info/event/149/
1995,UIAA Bouldering Masters - L'Argentier 1995,https://ifsc.results.info/event/150/
1995,UIAA Masters - Rock Masters Arco 1995,https://ifsc.results.info/event/151/
