rank,category,modality,name,number,country,event_name,Qualification,Final,Semi-Final
1,Men B1,Lead,Francisco Javier AGUILAR AMOEDO,20 •,ESP,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,1.41 (1),50+ (1),
2,Men B1,Lead,Razvan NEDU,36 •,ROU,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,2.0 (2),50 (2),
3,Men B1,Lead,Angelo Sebastian SIMIONESCU,38 •,ROU,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,2.45 (3),22 (3),
4,Men B1,Lead,Roland KÖCHL,15 •,AUT,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,4.0 (4),,
1,Men B2,Lead,Raul SIMON FRANCO,21 •,ESP,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,1.22 (1),44 (1),
2,Men B2,Lead,Simone SALVAGNIN,43 •,ITA,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,2.45 (2),40+ (2),
3,Men B2,Lead,Guillermo PELEGRÍN,24 •,ESP,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,2.74 (3),34+ (3),
4,Men B2,Lead,Giulio CEVENINI,44 •,ITA,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,3.87 (4),,
5,Men B2,Lead,Valentin-laurentiu MOISE,37 •,ROU,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,4.0 (5),,
1,Women B3,Lead,Edith SCHEINECKER,65 •,AUT,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,1.22 (1),43 (1),
2,Women B3,Lead,Iben Kongsvik PAULSEN,80 •,NOR,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,2.74 (3),34+ (2),
3,Women B3,Lead,Nadia BREDICE,82 •,ITA,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,2.45 (2),29+ (3),
4,Women B3,Lead,Tanja GLUSIC,69 •,SLO,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,4.24 (4),,
4,Women B3,Lead,Ionela GRECU,83 •,ROU,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,4.24 (4),,
6,Women B3,Lead,Martina PELLANDRA,84 •,ITA,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,5.2 (6),,
1,Men AL2,Lead,Thierry DELARUE,49 •,FRA,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,1.22 (1),44 (1),
2,Men AL2,Lead,Albert GUARDIA FERRER,33 •,ESP,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,2.65 (3),39+ (2),
3,Men AL2,Lead,Frederik LEYS,40 •,BEL,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,4.39 (4),26+ (3),
4,Men AL2,Lead,Urko CARMONA BARANDIARAN,19 •,ESP,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,2.12 (2),24+ (4),
5,Men AL2,Lead,Iván GERMÁN PASCUAL,31 •,ESP,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,4.47 (5),,
6,Men AL2,Lead,Sebastian MENZE,3 •,NOR,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,5.74 (6),,
7,Men AL2,Lead,Thomas MEIER,52 •,GER,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,7.0 (7),,
8,Men AL2,Lead,Omar AL KHATIB,30 •,ITA,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,8.94 (8),,
9,Men AL2,Lead,Marco REINHARDT,10 •,GER,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,9.0 (9),,
10,Men AL2,Lead,Nicolas PERRETH,9 •,GER,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,9.17 (10),,
11,Men AL2,Lead,Eirik Østreng GUDBRANDSEN,2 •,NOR,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,10.75 (11),,
1,Women AU2,Lead,Solenne PIRET,81 •,FRA,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,1.0 (1),TOP (1),
2,Women AU2,Lead,Melinda VIGH,73 •,HUN,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,2.24 (2),25+ (2),
3,Women AU2,Lead,Lucia CAPOVILLA,74 •,ITA,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,2.74 (3),25 (3),
4,Women AU2,Lead,Corinna WIMMER,75 •,GER,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,4.0 (4),,
1,Men RP1,Lead,Bastien THOMAS,50 •,FRA,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,1.41 (1),TOP (1),
