rank,category,modality,name,number,country,event_name,Qualification,Semi-Final,Final
1,Men,Boulder,Jernej KRUDER,1 •,SLO,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",5T5z 7 7 (1),2T4z 7 6 (6),4T4z 8 6 (1)
2,Men,Boulder,Adam ONDRA,8 •,CZE,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",3T5z 8 12 (10),4T4z 9 6 (1),3T4z 5 7 (2)
3,Men,Boulder,Yoshiyuki OGATA,5 •,JPN,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",5T5z 15 11 (6),2T4z 5 7 (4),3T3z 6 5 (3)
4,Men,Boulder,Anze PEHARC,10 •,SLO,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",3T5z 7 8 (9),2T4z 5 5 (3),2T3z 6 6 (4)
5,Men,Boulder,Rei KAWAMATA,21 •,JPN,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",4T5z 13 10 (8),2T4z 3 15 (2),1T3z 2 6 (5)
6,Men,Boulder,Vadim TIMONOV,76 •,RUS,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",4T5z 11 15 (3),2T4z 6 6 (5),1T3z 2 8 (6)
7,Men,Boulder,Manuel CORNU,63 •,FRA,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",3T5z 6 16 (6),2T4z 13 16 (7),
8,Men,Boulder,Yuji FUJIWAKI,61 •,JPN,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",2T3z 5 7 (10),2T3z 6 6 (8),
9,Men,Boulder,Kokoro FUJII,2 •,JPN,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",5T5z 10 9 (4),1T4z 1 6 (9),
10,Men,Boulder,Jongwon CHON,3 •,KOR,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",5T5z 10 7 (3),1T4z 1 9 (10),
11,Men,Boulder,Aleksey RUBTSOV,57 •,RUS,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",3T5z 4 7 (5),1T4z 2 4 (11),
12,Men,Boulder,Jan HOJER,60 •,GER,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",4T5z 5 7 (2),1T4z 2 9 (12),
13,Men,Boulder,Nikolai IARILOVETS,79 •,RUS,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",2T4z 6 16 (9),1T4z 3 8 (13),
14,Men,Boulder,Alban LEVIER,11 •,FRA,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",4T5z 7 7 (7),1T4z 3 9 (14),
15,Men,Boulder,Alexander MEGOS,69 •,GER,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",3T4z 5 7 (7),1T4z 4 5 (15),
16,Men,Boulder,Rei SUGIMOTO,56 •,JPN,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",5T5z 13 10 (1),0T4z 0 6 (16),
17,Men,Boulder,Taisei ISHIMATSU,62 •,JPN,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",3T4z 6 8 (8),0T4z 0 15 (17),
18,Men,Boulder,Mickael MAWEM,7 •,FRA,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",5T5z 8 6 (2),0T3z 0 5 (18),
19,Men,Boulder,Tomoaki TAKATA,59 •,JPN,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",4T5z 12 13 (4),0T3z 0 9 (19),
20,Men,Boulder,Alex KHAZANOV,6 •,ISR,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",5T5z 10 10 (5),0T3z 0 15 (20),
21,Men,Boulder,Yufei PAN,14 •,CHN,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",3T5z 9 16 (11),,
21,Men,Boulder,Tim REUSER,71 •,NED,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",1T5z 4 15 (11),,
23,Men,Boulder,Yannick FLOHÉ,12 •,GER,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",3T5z 12 13 (12),,
23,Men,Boulder,Gregor VEZONIK,58 •,SLO,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",1T5z 4 16 (12),,
25,Men,Boulder,Sascha LEHMANN,20 •,SUI,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",3T5z 16 18 (13),,
25,Men,Boulder,Nathan PHILLIPS,64 •,GBR,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",1T4z 1 13 (13),,
27,Men,Boulder,Zach GALLA,80 •,USA,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",1T4z 3 9 (14),,
27,Men,Boulder,Jakob SCHUBERT,4 •,AUT,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",3T4z 5 5 (14),,
29,Men,Boulder,Kipras BALTRUNAS,94 •,LTU,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",1T4z 4 30 (15),,
29,Men,Boulder,William BOSI,22 •,GBR,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",3T4z 6 5 (15),,
29,Men,Boulder,Martin STRANIK,15 •,CZE,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",3T4z 6 5 (15),,
32,Men,Boulder,Gholamali BARATZADEH,75 •,IRI,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",1T4z 5 17 (16),,
33,Men,Boulder,Alfons DORNAUER,70 •,AUT,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",1T3z 2 9 (17),,
33,Men,Boulder,Sean MCCOLL,9 •,CAN,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",3T4z 7 6 (17),,
35,Men,Boulder,Florian KLINGLER,17 •,AUT,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",3T4z 9 9 (18),,
35,Men,Boulder,Simon LORENZI,47 •,BEL,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",3T4z 9 9 (18),,
35,Men,Boulder,William RIDAL,68 •,GBR,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",1T3z 3 10 (18),,
38,Men,Boulder,Dominik HAERTL,88 •,AUT,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",1T3z 5 8 (19),,
39,Men,Boulder,Stefano GHISOLFI,19 •,ITA,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",3T3z 9 6 (20),,
39,Men,Boulder,Carlos Felipe GRANJA LOPEZ,84 •,ECU,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",1T3z 6 12 (20),,
41,Men,Boulder,Rudolph RUANA,53 •,USA,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",2T4z 3 8 (21),,
41,Men,Boulder,Sergii TOPISHKO,65 •,UKR,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",1T2z 2 3 (21),,
43,Men,Boulder,Michael PICCOLRUAZ,66 •,ITA,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",1T2z 2 5 (22),,
43,Men,Boulder,Fedir SAMOILOV,34 •,UKR,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",2T4z 6 5 (22),,
45,Men,Boulder,Benjamin BLASER,85 •,SUI,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",1T2z 2 9 (23),,
45,Men,Boulder,Thilo Jeldrik SCHRÖTER,13 •,NOR,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",2T3z 2 4 (23),,
47,Men,Boulder,Lukas FRANCKAERT,48 •,BEL,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",1T5z 7 25 (24),,
47,Men,Boulder,Dmitrii SHARAFUTDINOV,73 •,RUS,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",1T2z 3 7 (24),,
49,Men,Boulder,Joe GOODACRE,55 •,USA,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",1T4z 5 11 (25),,
49,Men,Boulder,Sergei LUZHETSKII,107 •,RUS,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",1T1z 3 3 (25),,
51,Men,Boulder,Zan LOVENJAK SUDAR,90 •,SLO,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",0T4z 0 10 (26),,
