rank,category,modality,name,number,country,event_name
1,Men,Lead,François LEGRAND,,FRA,UIAA Worldcup - Clusone 1991
2,Men,Lead,Didier RABOUTOU,,FRA,UIAA Worldcup - Clusone 1991
3,Men,Lead,Evgeny OVCHINNIKOV,,RUS,UIAA Worldcup - Clusone 1991
4,Men,Lead,Salavat RAKHMETOV,,RUS,UIAA Worldcup - Clusone 1991
5,Men,Lead,Frédéric NICOLE,,SUI,UIAA Worldcup - Clusone 1991
6,Men,Lead,Elie CHEVIEUX,,SUI,UIAA Worldcup - Clusone 1991
7,Men,Lead,Jean-baptiste TRIBOUT,,FRA,UIAA Worldcup - Clusone 1991
8,Men,Lead,François LOMBARD,,FRA,UIAA Worldcup - Clusone 1991
9,Men,Lead,Philippe STEULET,,SUI,UIAA Worldcup - Clusone 1991
10,Men,Lead,Stéphane POUSSARDIN,,FRA,UIAA Worldcup - Clusone 1991
11,Men,Lead,Robert CORTIJO,,FRA,UIAA Worldcup - Clusone 1991
12,Men,Lead,Guido KÖSTERMEYER,,GER,UIAA Worldcup - Clusone 1991
13,Men,Lead,Stefan FÜRST,,AUT,UIAA Worldcup - Clusone 1991
14,Men,Lead,François PETIT,,FRA,UIAA Worldcup - Clusone 1991
15,Men,Lead,Stefano ALIPPI,,ITA,UIAA Worldcup - Clusone 1991
16,Men,Lead,Patxi AROCENA,,ESP,UIAA Worldcup - Clusone 1991
16,Men,Lead,Serge BLEIN,,FRA,UIAA Worldcup - Clusone 1991
18,Men,Lead,Jacky GODOFFE,,FRA,UIAA Worldcup - Clusone 1991
19,Men,Lead,Yann GHESQUIERS,,FRA,UIAA Worldcup - Clusone 1991
19,Men,Lead,Txema GOMEZ,,ESP,UIAA Worldcup - Clusone 1991
21,Men,Lead,Andrea DI BARI,,ITA,UIAA Worldcup - Clusone 1991
22,Men,Lead,Piotr KORCZAK,,POL,UIAA Worldcup - Clusone 1991
23,Men,Lead,Luca GIUPPONI,,ITA,UIAA Worldcup - Clusone 1991
24,Men,Lead,Josef SCHWAIGER,,AUT,UIAA Worldcup - Clusone 1991
25,Men,Lead,Pavel SAMOILINE,,RUS,UIAA Worldcup - Clusone 1991
25,Men,Lead,Tadej SLABE,,SLO,UIAA Worldcup - Clusone 1991
27,Men,Lead,Mark DELAFIELD,,GBR,UIAA Worldcup - Clusone 1991
28,Men,Lead,Stéphane BRETTE,,FRA,UIAA Worldcup - Clusone 1991
29,Men,Lead,Jindrich HUDECEK,,CZE,UIAA Worldcup - Clusone 1991
29,Men,Lead,Anton PACEK,,SVK,UIAA Worldcup - Clusone 1991
29,Men,Lead,Pavol ZAUSKA,,SVK,UIAA Worldcup - Clusone 1991
32,Men,Lead,Stefan GLOWACZ,,GER,UIAA Worldcup - Clusone 1991
33,Men,Lead,Alec BRONITZ,,BEL,UIAA Worldcup - Clusone 1991
34,Men,Lead,Jae-yong LEE,,KOR,UIAA Worldcup - Clusone 1991
35,Men,Lead,Hannes RIESER,,AUT,UIAA Worldcup - Clusone 1991
36,Men,Lead,Andrzej MARCISZ,,POL,UIAA Worldcup - Clusone 1991
37,Men,Lead,Mark BAKER,,AUS,UIAA Worldcup - Clusone 1991
